"Summary","Sumar","theme","frontend/Magento/blank",,
"Account Dashboard","Planşa de cont","theme","frontend/Magento/blank",,
"Account Information","Informaţii cont","theme","frontend/Magento/blank",,
"Address Book","Agendă","theme","frontend/Magento/blank",,
"Menu","Meniu","theme","frontend/Magento/blank",,
"Account","Cont","theme","frontend/Magento/blank",,
"Settings","Setări","theme","frontend/Magento/blank",,
"Now Shopping by","Acum Cos de","theme","frontend/Magento/luma",,
"Previous","Previous","theme","frontend/Magento/luma",,
"Remove","Demontaţi","theme","frontend/Magento/luma",,
"Remove This Item","Demontaţi acest element","theme","frontend/Magento/luma",,
"Shop By","Magazin de","theme","frontend/Magento/luma",,
"Clear All","Ştergere toate","theme","frontend/Magento/luma",,
"Shopping Options","Opţiuni de cumpărături","theme","frontend/Magento/luma",,
"Welcome to %store_name.","Bun venit la magazinul de %store_name.","theme","frontend/Magento/luma",,
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pentru conectarea la site-ul nostru, utilizaţi aceste acreditive în timpul comanda sau pe <a href=""%Customer_URL"">Contul Meu</a> pagina:","theme","frontend/Magento/luma",,
"Email:","E-mail:","theme","frontend/Magento/luma",,
"Password:","Parolă:","theme","frontend/Magento/luma",,
"Password you set when creating account","Parola pe care aţi setat atunci când crearea de cont","theme","frontend/Magento/luma",,
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Aţi uitat parola contului dvs.? Faceţi clic pe <a href=""%reset_url"">aici</a> pentru a o reseta.","theme","frontend/Magento/luma",,
"When you sign in to your account, you will be able to:","Când vă conectaţi la contul dvs., veţi putea:","theme","frontend/Magento/luma",,
"Quick Checkout","Verificare rapidă","theme","frontend/Magento/luma",,
"Proceed through checkout faster","Procedaţi prin comanda mai rapid","theme","frontend/Magento/luma",,
"Order Status","Starea comenzii","theme","frontend/Magento/luma",,
"Check the status of orders","Verificaţi starea comenzilor","theme","frontend/Magento/luma",,
"Manage Addresses","Gestionaţi adrese","theme","frontend/Magento/luma",,
"Store alternative addresses","Depozitaţi Adrese alternative","theme","frontend/Magento/luma",,
"For shipping to multiple family members and friends","Pentru transport la multiple membri ai familiei şi prietenii","theme","frontend/Magento/luma",,
"Order History","Istoricul comenzii","theme","frontend/Magento/luma",,
"View past orders","Vizualizaţi ultimele comenzi","theme","frontend/Magento/luma",,
"About Us","Despre noi","theme","frontend/Magento/luma",,
"Customer Service","Serviciu clienţi","theme","frontend/Magento/luma",,
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>","theme","frontend/Magento/luma",,
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Ore de funcţionare:<br /><span class=""no-link"">%store_ore</span>.","theme","frontend/Magento/luma",,
"Thank you for your order from %store_name.","Vă mulţumim pentru comanda dvs. de la %store_name.","theme","frontend/Magento/luma",,
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puteţi verifica starea comenzii dvs prin <a href=""%Account_URL"">Conectarea la contul dvs.</a>.","theme","frontend/Magento/luma",,
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Dacă aveţi întrebări despre comanda dvs., puteţi să ne e-mail la <a href=""mailto:%store_email"">%store_email</a>.","theme","frontend/Magento/luma",,
"Your Credit Memo #%creditmemo_id for Order #%order_id","Dumneavoastră de credit memo #%creditmemo_id pentru scopul #%order_id","theme","frontend/Magento/luma",,
"Billing Info","Informaţii de facturare","theme","frontend/Magento/luma",,
"Shipping Info","Informaţii de transport","theme","frontend/Magento/luma",,
"Payment Method","Metodă de plată","theme","frontend/Magento/luma",,
"Shipping Method","Metoda de expediere","theme","frontend/Magento/luma",,
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Comanda dumneavoastră #%increment_id a fost actualizată cu o stare de <strong>%order_stare</strong>.","theme","frontend/Magento/luma",,
"Your Invoice #%invoice_id for Order #%order_id","Factura dumneavoastră #%factura_id pentru scopul #%order_id","theme","frontend/Magento/luma",,
"Once your package ships we will send you a tracking number.","Odată ce pachetul este trimis, va vom trimite un număr de urmărire.","theme","frontend/Magento/luma",,
"Your Order <span class=""no-link"">#%increment_id</span>","Comanda dvs. <span class=""no-link"">#%increment_id</span>","theme","frontend/Magento/luma",,
"Placed on <span class=""no-link"">%created_at</span>","Plasate pe <span class=""no-link"">%created_at</span>","theme","frontend/Magento/luma",,
"Your shipping confirmation is below. Thank you again for your business.","Confirmare livrare este de mai jos. Vă mulţumim din nou pentru afacerea dvs.","theme","frontend/Magento/luma",,
"Your Shipment #%shipment_id for Order #%order_id","Expediere #%expediţie_id pentru scopul #%order_id","theme","frontend/Magento/luma",,
"Backup options","Opţiuni de backup","lib","lib/web/mage/adminhtml/backup.js",,
"Warning","Avertisment","lib","lib/web/mage/adminhtml/backup.js",,
"Cancel","Anula","lib","lib/web/mage/adminhtml/backup.js",,
"Ok","Ok","lib","lib/web/mage/adminhtml/backup.js",,
"Insert Widget...","Introduceţi Widget...","lib","lib/web/mage/adminhtml/wysiwyg/widget.js",,
"No records found.","Nu există înregistrări găsite.","lib","lib/web/mage/backend/suggest.js",,
"Recent items","Articole recente","lib","lib/web/mage/backend/suggest.js",,
"Show all...","Afişare toate...","lib","lib/web/mage/backend/suggest.js",,
"Method %s does not exist on jQuery.decorate","Metoda %s nu există pe jQuery.decora","lib","lib/web/mage/decorate.js",,
"Close","Închideţi","lib","lib/web/mage/dropdown.js",,
"Please wait...","Vă rugăm să aşteptaţi...","lib","lib/web/mage/loader_old.js",,
"Loading...","Încărcarea...","lib","lib/web/mage/loader_old.js",,
"Please wait...","Vă rugăm să aşteptaţi...","lib","lib/web/mage/loader.js",,
"Loading...","Încărcarea...","lib","lib/web/mage/loader.js",,
"All ","Toate","lib","lib/web/mage/menu.js",,
"more","Mai multe","lib","lib/web/mage/menu.js",,
"Cancel","Anula","lib","lib/web/mage/translate-inline-vde.js",,
"Save","Salvare","lib","lib/web/mage/translate-inline-vde.js",,
"Translate","Traducere","lib","lib/web/mage/translate-inline.js",,
"Submit","Trimite","lib","lib/web/mage/translate-inline.js",,
"Close","Închideţi","lib","lib/web/mage/translate-inline.js",,
"Please enter a value less than or equal to %s.","Vă rugăm să introduceţi o valoare mai mică sau egală cu %s.","lib","lib/web/mage/validation.js",,
"Please enter a value greater than or equal to %s.","Vă rugăm să introduceţi o valoare mai mare decât sau egală cu %s.","lib","lib/web/mage/validation.js",,
"Maximum length of this field must be equal or less than %1 symbols.","Lungime maximă de acest câmp trebuie să fie egală sau mai mică decât %1 simboluri.","lib","lib/web/mage/validation.js",,
"This is a required field.","Acesta este un câmp obligatoriu.","lib","lib/web/mage/validation.js",,
"Please enter a date between %min and %max.","Vă rugăm să introduceţi o dată între %min şi %max.","lib","lib/web/mage/validation/validation.js",,
"Please enter a valid year (1900-%1).","Vă rugăm introduceţi o an (1900-%1).","lib","lib/web/mage/validation/validation.js",,
"Please enter a valid day (1-%1).","Vă rugăm introduceţi o zi (1-%1).","lib","lib/web/mage/validation/validation.js",,
"Please enter a date from the past.","Vă rugăm să introduceţi o dată din trecut.","lib","lib/web/mage/validation/validation.js",,
"Read Details","Citiţi detalii","module","Magento_AdminNotification",,
"Mark as Read","Marcaţi ca citit","module","Magento_AdminNotification",,
"Are you sure?","Esti sigur?","module","Magento_AdminNotification",,
"Remove","Demontaţi","module","Magento_AdminNotification",,
"Messages Inbox","Inbox de mesaje","module","Magento_AdminNotification",,
"You have %1 new system messages","Aveţi %1 nou mesaje de sistem","module","Magento_AdminNotification",,
"You have %1 new system message","Aveţi mesaj de sistem nou de %1","module","Magento_AdminNotification",,
"Incoming Message","Mesaj de intrare","module","Magento_AdminNotification",,
"close","Închideţi","module","Magento_AdminNotification",,
"Notifications","Notificari","module","Magento_AdminNotification",,
"The message has been marked as Read.","Mesajul a fost marcat pentru citire.","module","Magento_AdminNotification",,
"We couldn't mark the notification as Read because of an error.","Am putea fi marcaţi notificarea ca citit din cauza o eroare.","module","Magento_AdminNotification",,
"Please select messages.","Vă rugăm să selectaţi mesajele.","module","Magento_AdminNotification",,
"A total of %1 record(s) have been marked as Read.","Un total de %1 Record (s) au fost marcate ca fiind citite.","module","Magento_AdminNotification",,
"Total of %1 record(s) have been removed.","Total de %1 Record(s) au fost eliminate.","module","Magento_AdminNotification",,
"We couldn't remove the messages because of an error.","Nu am putut scoate mesajele din cauza o eroare.","module","Magento_AdminNotification",,
"The message has been removed.","Mesajul a fost demontat.","module","Magento_AdminNotification",,
"1 Hour","1 ore","module","Magento_AdminNotification",,
"2 Hours","2 ore","module","Magento_AdminNotification",,
"6 Hours","6 ore","module","Magento_AdminNotification",,
"12 Hours","12 de ore","module","Magento_AdminNotification",,
"24 Hours","24 de ore","module","Magento_AdminNotification",,
"critical","Critical","module","Magento_AdminNotification",,
"major","Maior","module","Magento_AdminNotification",,
"minor","Minor","module","Magento_AdminNotification",,
"notice","Anunţ","module","Magento_AdminNotification",,
"Wrong message type","Tip de mesaj greşită","module","Magento_AdminNotification",,
"Wrong notification ID specified.","Notificarea greşită ID specificate.","module","Magento_AdminNotification",,
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{BASE_url}} nu este recomandat pentru utilizarea în mediul de producţie pentru a declara baza Nesecurizate URL / URL-ul securizat de bază. Vă recomandăm schimbarea acestei valori în Magento <a href=""%1"">configuraţie</a>.","module","Magento_AdminNotification",,
"One or more of the Cache Types are invalidated: %1. ","Una sau mai multe tipuri de memorie cache sunt invalidate: %1.","module","Magento_AdminNotification",,
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Vă rugăm să mergeţi la <a href=""%1"">Gestionarea Cache</a> şi memorie cache de reîmprospătare de tipuri.","module","Magento_AdminNotification",,
